"","id","first_name","surname","handballs","deb","games"
"381",1053,"David","Wirrpanda",4,1996-04-27,39
"382",1100,"Ashley","McGrath",1,2002-03-31,39
"383",1100,"Ashley","McGrath",3,2003-04-27,39
"384",1150,"Chris","Newman",4,2002-07-26,39
"385",1160,"Quinten","Lynch",4,2002-06-15,39
"386",1217,"Brian","Lake",3,2003-04-06,39
"387",1288,"Neil","Cordy",3,1979-04-21,39
"388",1335,"Paul","Vander Haar",2,1977-06-04,39
"389",1451,"Jay","Schulz",2,2003-08-31,39
"390",1457,"Michael","Firrito",5,2004-04-18,39
"391",1510,"Ricky","Barham",3,1977-05-28,39
"392",1511,"Trevor","Barker",3,1975-08-02,39
"393",1737,"Laurie","Fowler",1,1972-06-10,39
"394",1765,"Keith","Greig",2,1971-04-12,39
"395",1949,"Leigh","Matthews",1,1970-04-18,39
"396",2076,"Bill","Picken",3,1974-06-01,39
"397",2260,"Greg","Wells",2,1970-05-16,39
"398",4078,"Jarryd","Roughead",5,2005-04-10,39
"399",4169,"Josh","Kennedy",4,2006-05-21,39
"400",5,"Nigel","Smart",4,1992-05-22,38
"401",119,"Jason","Akermanis",3,1995-06-25,38
"402",151,"Craig","Bradley",5,1988-04-16,38
"403",210,"Gary","Pert",1,1982-08-07,38
"404",234,"Dermott","Brereton",5,1983-05-07,38
"405",284,"Leon","Davis",3,2000-05-07,38
"406",314,"Paul","Salmon",1,1983-04-09,38
"407",315,"Scott","Cummings",1,1994-06-26,38
"408",354,"Mark","Johnson",5,1999-06-25,38
"409",355,"Mark","McVeigh",4,1999-04-10,38
"410",429,"Rohan","Smith",3,1992-04-05,38
"411",468,"Robert","Murphy",3,2001-04-21,38
"412",584,"Barry","Stoneham",3,1986-05-17,38
"413",628,"Mark","Graham",4,1994-06-05,38
"414",660,"Trent","Croad",3,1999-04-10,38
"415",674,"Anthony","Rock",3,1988-06-18,38
"416",690,"Steven","Febey",5,1988-05-14,38
"417",759,"David","King",2,1994-04-16,38
"418",760,"John","Longmire",3,1988-07-10,38
"419",768,"Robert","Scott",3,1986-08-02,38
"420",770,"Brett","Allison",3,1988-04-16,38
"421",777,"Glenn","Archer",4,1992-08-16,38
"422",788,"Brent","Harvey",4,1997-04-27,38
"423",806,"Drew","Petrie",5,2003-05-02,38
"424",864,"Matthew","Rogers",3,1994-05-07,38
"425",886,"Darren","Gaspar",4,1995-04-16,38
"426",985,"Paul","Roos",4,1982-05-29,38
"427",1052,"Phillip","Matera",2,1996-04-21,38
"428",1150,"Chris","Newman",3,2002-06-29,38
"429",1368,"Stephen","Wright",5,1979-07-07,38
"430",1496,"Rod","Austin",2,1974-06-29,38
"431",1621,"Mick","Conlan",2,1978-07-08,38
"432",1757,"Ross","Glendinning",5,1978-05-13,38
"433",1931,"Mark","MacLure",2,1974-08-24,38
"434",1944,"Alan","Martello",0,1970-04-04,38
"435",2183,"Geoff","Southby",3,1971-08-14,38
"436",2290,"Bryan","Wood",5,1972-05-20,38
"437",4132,"Heath","Shaw",3,2005-08-07,38
"438",4162,"Shannon","Hurn",3,2007-05-13,38
"439",11637,"Lachie","Henderson",5,2009-04-26,38
"440",143,"Scott","Camporeale",4,1995-05-06,37
"441",234,"Dermott","Brereton",3,1983-04-16,37
"442",234,"Dermott","Brereton",4,1982-09-11,37
"443",253,"Richard","Osborne",0,1983-04-23,37
"444",279,"Tarkyn","Lockyer",4,1999-05-21,37
"445",301,"Alan","Didak",4,2002-07-13,37
"446",311,"Darren","Bewick",5,1988-05-27,37
"447",355,"Mark","McVeigh",3,1999-06-04,37
"448",381,"Jeff","Hogg",1,1986-07-26,37
"449",385,"Chris","Johnson",3,1994-06-25,37
"450",385,"Chris","Johnson",5,1994-05-22,37
"451",436,"Luke","Darcy",3,1996-04-28,37
"452",539,"Leigh","Brown",5,2000-04-02,37
"453",567,"Gary","Ablett",3,1984-06-02,37
"454",604,"Matthew","Scarlett",3,2000-03-25,37
"455",604,"Matthew","Scarlett",4,2000-05-20,37
"456",703,"Jeff","Farmer",2,1995-04-01,37
"457",730,"James","McDonald",5,1998-04-26,37
"458",735,"Jamie","Shanahan",2,1992-04-20,37
"459",761,"Craig","Sholl",5,1987-07-18,37
"460",775,"Corey","McKernan",4,1994-04-02,37
"461",870,"Matthew","Richardson",4,1993-07-16,37
"462",921,"Justin","Peckett",5,1993-06-12,37
"463",1039,"Chris","Lewis",2,1987-04-04,37
"464",1178,"Tom","Alvin",3,1984-04-21,37
"465",1253,"Peter","Daicos",2,1980-04-19,37
"466",1268,"Dennis","Carroll",4,1981-05-23,37
"467",1286,"David","Cloke",3,1974-05-25,37
"468",1301,"Alan","Ezard",2,1984-04-25,37
"469",1418,"Jarrad","Waite",5,2003-04-26,37
"470",1477,"Geoff","Ablett",4,1974-04-06,37
"471",1551,"Terry","Bright",4,1976-04-24,37
"472",1557,"Mark","Browning",5,1975-07-05,37
"473",1669,"David","Dench",4,1970-04-11,37
"474",1736,"Garry","Foulds",5,1977-07-30,37
"475",1790,"Wayne","Harmes",4,1978-04-15,37
"476",1803,"Bob","Heard",1,1970-04-04,37
"477",1808,"Kevin","Higgins",2,1970-04-11,37
"478",2022,"Bruce","Nankervis",2,1970-05-23,37
"479",2076,"Bill","Picken",2,1974-05-04,37
"480",2183,"Geoff","Southby",1,1971-04-24,37
